years,sex,city_state,population,female_comparison,male_comparison,male_pop_2000,female_pop_2000,total_pop_2000,total_pop_2020,city_state_year,pop_increase,price_increase
2000,Male,Lansing MI,100524,0.520,0.480,100524,109057,209581,112644,Lansing MI 2000,0.537,0.321917907
2000,Female,Lansing MI,109057,0.520,0.480,100524,109057,209581,112644,Lansing MI 2000,0.537,0.321917907
2020,Both,Lansing MI,112644,0.520,0.480,,,209581,112644,Lansing MI 2020,0.537,0.321917907
2000,Both,Laredo TX,176576,0.520,0.480,84704,91872,176576,255205,Laredo TX 2000,1.445,
2000,Male,Laredo TX,84704,0.520,0.480,84704,91872,176576,255205,Laredo TX 2000,1.445,
2000,Female,Laredo TX,91872,0.520,0.480,84704,91872,176576,255205,Laredo TX 2000,1.445,
2020,Both,Laredo TX,255205,0.520,0.480,,,176576,255205,Laredo TX 2020,1.445,
2000,Both,Las Vegas NV,896396,0.492,0.508,454954,441442,896396,641903,Las Vegas NV 2000,0.716,0.770065055
2000,Male,Las Vegas NV,454954,0.492,0.508,454954,441442,896396,641903,Las Vegas NV 2000,0.716,0.770065055
2000,Female,Las Vegas NV,441442,0.492,0.508,454954,441442,896396,641903,Las Vegas NV 2000,0.716,0.770065055
2020,Both,Las Vegas NV,641903,0.492,0.508,,,896396,641903,Las Vegas NV 2020,0.716,0.770065055
2000,Both,Lexington-Fayette KY,260512,0.509,0.491,127905,132607,260512,322570,Lexington-Fayette KY 2000,1.238,
2000,Male,Lexington-Fayette KY,127905,0.509,0.491,127905,132607,260512,322570,Lexington-Fayette KY 2000,1.238,
2000,Female,Lexington-Fayette KY,132607,0.509,0.491,127905,132607,260512,322570,Lexington-Fayette KY 2000,1.238,
